code_geo,latitude,longitude,city_code,zip_code,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP
87195,46.290814293,1.127905038,tersannes,87360,0,0,698
87197,45.997950561,1.220475611,thouron,87140,40,0,3868
87198,46.027455017,1.083828287,vaulry,87140,22,0,2699
87199,45.773039818,0.823613833,vayres,87600,4,0,1770
87200,46.336876254,1.11664875,verneuil moustiers,87360,21,0,1436
87201,45.850330673,1.129519083,verneuil sur vienne,87430,627,0,39801
87202,45.903344843,1.090045299,veyrac,87520,424,0,28530
87203,45.649263783,1.3904102,vicq sur breuilh,87260,82,0,7801
87204,45.782726303,0.732004457,videix,87600,7,0,1089
87205,45.736953461,1.281464021,le vigen,87110,267,0,11762
87206,46.169606728,1.214451318,villefavard,87190,0,0,541
88001,48.191842454,6.193004158,les ableuvenettes,88270,6,0,409
88002,48.284847582,6.199840423,aheville,88500,0,0,272
88003,48.205048525,5.768495605,aingeville,88140,16,0,323
88004,47.987800089,5.828149335,ainvelle,88320,0,0,854
88005,48.468981824,7.02064601,allarmont,88110,5,0,1308
88006,48.351918261,6.139617189,ambacourt,88500,25,0,2367
88007,47.948917734,5.9520309,ameuvelle,88410,0,0,221
88008,48.376316162,6.668575238,anglemont,88700,0,0,752
88009,48.184868516,6.940598622,anould,88650,232,0,16274
88010,48.384482916,5.866716837,aouze,88170,0,0,999
88011,48.113512102,6.513870044,arches,88380,115,0,13200
88012,48.132509524,6.549290419,archettes,88380,65,0,7489
88013,48.40903449,5.899573913,aroffe,88170,1,0,664
88014,48.132458027,6.875319484,arrentes de corcieux,88430,9,0,903
88015,48.398025163,5.826508238,attigneville,88300,5,0,1764
88016,48.061584368,6.025578391,attigny,88260,0,0,1780
88017,48.261569711,5.777290676,aulnois,88300,0,0,925
88019,48.415000446,5.780276843,autigny la tour,88300,3,0,818
88020,48.490217322,5.858556622,autreville,88300,0,0,648
88021,48.289659369,6.724206039,autrey,88700,35,0,2924
88022,48.236391636,5.852510483,auzainvilliers,88140,4,0,559
88023,48.313283427,6.205779116,avillers,88500,2,0,327
88024,48.377895562,6.221041307,avrainville,88130,0,0,496
88025,48.418719005,5.535872703,avranville,88630,0,0,163
88026,48.210103044,6.571657061,aydoilles,88600,98,0,7519
88027,48.311400337,6.5241308490000005,badmenil aux bois,88330,0,0,638
88028,48.159033196,6.560912354,la baffe,88460,51,0,3625
88029,48.015014927,6.252987176,la voge les bains,88240,315,0,51425
88030,48.207901623,6.132964824,bainville aux saules,88270,19,0,1100
88031,48.334550404,5.847154434,balleville,88170,0,0,403
88032,48.227997281,7.084236412,ban de laveline,88520,31,0,4529
88033,48.343273363,7.01608999,ban de sapt,88210,1,0,462
88035,48.131288406,6.847040772,barbey seroux,88640,4,0,1134
88036,48.378113854,5.76988978,barville,88300,0,0,1234
88037,47.986598667,6.767909597,basse sur le rupt,88120,30,0,2915
88038,48.389943958,6.181207795,battexey,88130,0,0,175
88039,48.309419203,6.057322926,baudricourt,88500,4,0,1272
88040,48.270586862,6.492314772,bayecourt,88150,9,0,2326
88041,48.26603213,6.231614535,bazegney,88270,6,0,496
88042,48.414417593,6.675718989,bazien,88700,1,0,167
88043,48.259111181,6.10377554,bazoilles et menil,88500,2,0,580
88044,48.301474733,5.650457113,bazoilles sur meuse,88300,7,0,3525
88045,48.254024425,5.745706013,beaufremont,88300,0,0,767
88046,48.171480696,6.722168757,beaumenil,88600,7,0,507
88047,48.209544443,6.163846285,begnecourt,88270,8,0,850
88048,48.010425807,6.464335989,bellefontaine,88370,37,2,4834
88049,48.086423955,6.014673801,belmont les darney,88260,0,0,434
